Fecha,Apertura,Maximo,Minimo,Cierre,Aj_Cierre,Volumen,Variacion,Yahoo_EQ_Investing
04/01/2010,32120.74023,32758.5293,32120.74023,32758.5293,32758.5293,136257800,0.0199,si
05/01/2010,32729.30078,33073.71094,32628.24023,32732.75977,32732.75977,165541900,-0.0008,si
06/01/2010,32730.41992,32922.12109,32639.43945,32830.16016,32830.16016,126000100,0.003,si
07/01/2010,32830.21875,33069.78125,32670.98047,33064.57031,33064.57031,123563200,0.0071,si
08/01/2010,33067.57031,33080.05078,32779.66016,32892.03906,32892.03906,109516900,-0.0052,si
11/01/2010,32892.10938,33047.23047,32711.03906,32935.37891,32935.37891,150332200,0.0013,si
12/01/2010,32950.33984,32976.60938,32719.61914,32792.66016,32792.66016,139205800,-0.0043,si
13/01/2010,32792.87109,32929.32031,32607.93945,32836.07813,32836.07813,143683200,0.0013,si
14/01/2010,32843.55859,32847.92969,32429.66992,32729.58008,32729.58008,447963200,-0.0032,si
15/01/2010,32725.41016,32728.41016,32262.09961,32262.30078,32262.30078,318270300,-0.0143,si
18/01/2010,32262.5293,32491.48047,32262.5293,32482.73047,32482.73047,32108200,0.0068,si
19/01/2010,32493.35938,32618.00977,32367.85938,32473.05078,32473.05078,213255300,-0.0003,si
20/01/2010,32466.03906,32466.03906,31946.76953,32025.33984,32025.33984,215329000,-0.0138,si
21/01/2010,32033.84961,32151.80078,31181.7207,31205.30078,31205.30078,243330800,-0.0256,si
22/01/2010,31203.09961,31212.55078,30612.06055,30830.91016,30830.91016,210227600,-0.012,si
25/01/2010,30831.40039,31080.98047,30465.06055,30465.06055,30465.06055,196961600,-0.0119,si
26/01/2010,30461.85938,30764.75977,30209.08984,30651.56055,30651.56055,183139500,0.0061,si
27/01/2010,30629.78906,30677.03906,30082.76953,30610.83008,30610.83008,306309200,-0.0013,si
28/01/2010,30620.58984,30926.05078,30334.66992,30811.34961,30811.34961,202374700,0.0066,si
29/01/2010,30811.4707,31002.78906,30343.05078,30391.60938,30391.60938,241668900,-0.0136,si
02/02/2010,30416.64063,30922.0293,30416.64063,30876.65039,30876.65039,183848300,0.016,si
03/02/2010,30869.99023,31396.90039,30763.64063,31287.03906,31287.03906,212362200,0.0133,si
04/02/2010,31285.5293,31285.5293,30530.41016,30603.71094,30603.71094,182901900,-0.0218,si
05/02/2010,30603.88086,30630.73047,29926.06055,30630.73047,30630.73047,202078000,0.0009,si
08/02/2010,30633.38086,30778.01953,30528.96094,30649.43945,30649.43945,147957200,0.0006,si
09/02/2010,30649.55078,30998.17969,30649.55078,30818.48047,30818.48047,184952300,0.0055,si
10/02/2010,30836.60938,30897.94922,30460.30078,30746.05078,30746.05078,157155400,-0.0024,si
11/02/2010,30746.53906,30994.33984,30686.83008,30845.63086,30845.63086,144841900,0.0032,si
12/02/2010,30845.75,31005.74023,30641.03906,31005.74023,31005.74023,125680300,0.0052,si
15/02/2010,31006.53906,31120.7207,30896.10938,31038.32031,31038.32031,33729400,0.0011,si
16/02/2010,31071.64063,31644.76953,31071.64063,31644.76953,31644.76953,167793000,0.0195,si
17/02/2010,31644.91016,31892.11914,31641.18945,31892.11914,31892.11914,163983200,0.0078,si
18/02/2010,31889.07031,32216.93945,31695.63086,32170.78906,32170.78906,193725100,0.0087,si
19/02/2010,32160.2207,32283.14063,31890.73047,32172.10938,32172.10938,198987100,0,si
22/02/2010,32172.2207,32272.16016,32023.53906,32034.33984,32034.33984,183649600,-0.0043,si
23/02/2010,32020.94922,32020.94922,31598.06055,31850.24023,31850.24023,156648200,-0.0057,si
24/02/2010,31850.78906,31990.35938,31777.49023,31788.53906,31788.53906,141239700,-0.0019,si
25/02/2010,31777.38086,31777.38086,31396.7793,31649.09961,31649.09961,124758900,-0.0044,si
