Fecha,Apertura,Máximo,Mínimo,Cierre,Vol.,% var.
04/01/2010,32120.74,32758.53,32120.74,32758.53,136.26M,1.99%
05/01/2010,32729.3,33073.71,32628.24,32732.76,165.54M,-0.08%
06/01/2010,32730.42,32922.12,32639.44,32830.16,126.00M,0.30%
07/01/2010,32830.22,33069.78,32670.98,33064.57,123.56M,0.71%
08/01/2010,33067.57,33080.05,32779.66,32892.04,109.52M,-0.52%
11/01/2010,32892.11,33047.23,32711.04,32935.38,150.33M,0.13%
12/01/2010,32950.34,32976.61,32719.62,32792.66,139.21M,-0.43%
13/01/2010,32792.87,32929.32,32607.94,32836.08,143.68M,0.13%
14/01/2010,32843.56,32847.93,32429.67,32729.58,447.96M,-0.32%
15/01/2010,32725.41,32728.41,32262.1,32262.3,318.27M,-1.43%
18/01/2010,32262.53,32491.48,32262.53,32482.73,32.11M,0.68%
19/01/2010,32493.36,32618.01,32367.86,32473.05,213.26M,-0.03%
20/01/2010,32466.04,32466.04,31946.77,32025.34,215.33M,-1.38%
21/01/2010,32033.85,32151.8,31181.72,31205.3,243.33M,-2.56%
22/01/2010,31203.1,31212.55,30612.06,30830.91,210.23M,-1.20%
25/01/2010,30831.4,31080.98,30465.06,30465.06,196.96M,-1.19%
26/01/2010,30461.86,30764.76,30209.09,30651.56,183.14M,0.61%
27/01/2010,30629.79,30677.04,30082.77,30610.83,306.31M,-0.13%
28/01/2010,30620.59,30926.05,30334.67,30811.35,202.37M,0.66%
29/01/2010,30811.47,31002.79,30343.05,30391.61,241.67M,-1.36%
02/02/2010,30416.64,30922.03,30416.64,30876.65,183.85M,1.60%
03/02/2010,30869.99,31396.9,30763.64,31287.04,212.36M,1.33%
04/02/2010,31285.53,31285.53,30530.41,30603.71,182.90M,-2.18%
05/02/2010,30603.88,30630.73,29926.06,30630.73,202.08M,0.09%
08/02/2010,30633.38,30778.02,30528.96,30649.44,147.96M,0.06%
09/02/2010,30649.55,30998.18,30649.55,30818.48,184.95M,0.55%
10/02/2010,30836.61,30897.95,30460.3,30746.05,157.16M,-0.24%
11/02/2010,30746.54,30994.34,30686.83,30845.63,144.84M,0.32%
12/02/2010,30845.75,31005.74,30641.04,31005.74,125.68M,0.52%
15/02/2010,31006.54,31120.72,30896.11,31038.32,33.73M,0.11%
16/02/2010,31071.64,31644.77,31071.64,31644.77,167.79M,1.95%
17/02/2010,31644.91,31892.12,31641.19,31892.12,163.98M,0.78%
18/02/2010,31889.07,32216.94,31695.63,32170.79,193.73M,0.87%
19/02/2010,32160.22,32283.14,31890.73,32172.11,198.99M,0.00%
22/02/2010,32172.22,32272.16,32023.54,32034.34,183.65M,-0.43%
23/02/2010,32020.95,32020.95,31598.06,31850.24,156.65M,-0.57%
24/02/2010,31850.79,31990.36,31777.49,31788.54,141.24M,-0.19%
25/02/2010,31777.38,31777.38,31396.78,31649.1,124.76M,-0.44%
26/02/2010,31682.98,31866.43,31548.4,31634.54,190.96M,-0.05%
01/03/2010,31637.89,31888.3,31637.89,31765.14,147.75M,0.41%
02/03/2010,31765.33,32148.92,31763.45,32055.04,156.41M,0.91%
03/03/2010,32055.12,32431.21,31998.12,32353.54,205.11M,0.93%
04/03/2010,32353.85,32508.27,32085.06,32202,137.55M,-0.47%
05/03/2010,32208.99,32529.6,32208.99,32436.53,153.27M,0.73%
08/03/2010,32415.15,32535.96,32399.11,32520.27,154.43M,0.26%
09/03/2010,32520.65,32631.01,32419.17,32514.17,161.54M,-0.02%
10/03/2010,32514.33,32718.4,32500.93,32505.76,171.74M,-0.03%
11/03/2010,32506.34,32631.06,32353.92,32602.94,126.74M,0.30%
12/03/2010,32598.28,32725.26,32521.36,32578.05,102.69M,-0.08%
16/03/2010,32581.9,32774.33,32503.34,32723.9,137.76M,0.45%
17/03/2010,32724.2,33000,32723.59,32798.3,207.37M,0.23%
18/03/2010,32800.1,32977.35,32634.55,32969.83,198.76M,0.52%
19/03/2010,32968.89,33025.83,32780.29,33022.84,254.17M,0.16%
22/03/2010,33022.7,33193.84,32876.72,33142.02,156.85M,0.36%
23/03/2010,33142.73,33410.24,33122.07,33361.27,181.16M,0.66%
24/03/2010,33361.34,33474.9,33159.52,33160.97,199.66M,-0.60%
25/03/2010,33156.88,33366.36,33125.23,33164.33,168.44M,0.01%
26/03/2010,33165.43,33336.8,33082.59,33147.81,151.33M,-0.05%
29/03/2010,33147.04,33448.48,33144.7,33416.1,124.01M,0.81%
30/03/2010,33420.76,33589.09,33288.95,33399.46,139.17M,-0.05%
31/03/2010,33399.87,33429.67,33214.47,33266.43,239.51M,-0.40%
05/04/2010,33267.47,33779.35,33266.67,33648.89,223.00M,1.15%
